ID,Group,Time,Time Unit,Observation,Observation Unit,Observation ID,Observation Variable,Administration ID,Amount,Amount Unit,Amount Variable,Infusion Duration,Interdose Interval,Additional Doses
1001,1,0,h,.,,,,1,206897,ng/kg,PKCompartment.A1,0.5,1,0
1001,1,0,h,70.6,,2,,,.,,,,,
1001,1,0.583333333,h,547,,2,,,.,,,,,
1001,1,1.5,h,799,,2,,,.,,,,,
1001,1,3.5,h,1610,,2,,,.,,,,,
1001,1,7.5,h,5370,,2,,,.,,,,,
1001,1,24,h,14000,,2,,,.,,,,,
1001,1,72,h,20400,,2,,,.,,,,,
1001,1,167.9,h,16500,,2,,,.,,,,,
1001,1,240,h,15900,,2,,,.,,,,,
1001,1,335.9,h,6240,,2,,,.,,,,,
1001,1,503.9,h,3060,,2,,,.,,,,,
1001,1,672,h,108,,2,,,.,,,,,
1001,1,0,h,62.2,,3,,,.,,,,,
1001,1,7.5,h,1.11,,3,,,.,,,,,
1001,1,24,h,3.67,,3,,,.,,,,,
1001,1,72,h,7.81,,3,,,.,,,,,
1001,1,167.9,h,8.37,,3,,,.,,,,,
1001,1,240,h,5.94,,3,,,.,,,,,
1001,1,335.9,h,4.34,,3,,,.,,,,,
1001,1,503.9,h,3.39,,3,,,.,,,,,
1001,1,672,h,49.1,,3,,,.,,,,,
1001,1,0.583333333,h,6540000,,1,,,.,,,,,
1001,1,1.5,h,6100000,,1,,,.,,,,,
1001,1,3.5,h,5170000,,1,,,.,,,,,
1001,1,7.5,h,5440000,,1,,,.,,,,,
1001,1,24,h,3860000,,1,,,.,,,,,
1001,1,72,h,2380000,,1,,,.,,,,,
1001,1,167.9,h,1700000,,1,,,.,,,,,
1001,1,240,h,1340000,,1,,,.,,,,,
1001,1,335.9,h,931000,,1,,,.,,,,,
1001,1,503.9,h,322000,,1,,,.,,,,,
1001,1,672,h,883,,1,,,.,,,,,
1002,1,0,h,.,,,,1,206897,ng/kg,PKCompartment.A1,0.5,1,0
1002,1,0,h,89.1,,2,,,.,,,,,
1002,1,0.583333333,h,652,,2,,,.,,,,,
1002,1,1.5,h,1180,,2,,,.,,,,,
1002,1,3.5,h,2170,,2,,,.,,,,,
1002,1,7.5,h,4900,,2,,,.,,,,,
1002,1,24,h,15300,,2,,,.,,,,,
1002,1,72,h,28600,,2,,,.,,,,,
1002,1,167.9,h,26600,,2,,,.,,,,,
1002,1,240,h,21400,,2,,,.,,,,,
1002,1,335.9,h,15800,,2,,,.,,,,,
1002,1,503.9,h,14300,,2,,,.,,,,,
1002,1,672,h,12000,,2,,,.,,,,,
1002,1,0,h,74.4,,3,,,.,,,,,
1002,1,0.583333333,h,2.05,,3,,,.,,,,,
1002,1,1.5,h,2.29,,3,,,.,,,,,
1002,1,3.5,h,2.43,,3,,,.,,,,,
1002,1,7.5,h,3.02,,3,,,.,,,,,
1002,1,24,h,4.59,,3,,,.,,,,,
1002,1,72,h,5.9,,3,,,.,,,,,
1002,1,167.9,h,5.92,,3,,,.,,,,,
1002,1,240,h,4.96,,3,,,.,,,,,
1002,1,335.9,h,4.48,,3,,,.,,,,,
1002,1,503.9,h,6.63,,3,,,.,,,,,
1002,1,672,h,4.97,,3,,,.,,,,,
1002,1,0.583333333,h,6470000,,1,,,.,,,,,
1002,1,1.5,h,6540000,,1,,,.,,,,,
1002,1,3.5,h,6340000,,1,,,.,,,,,
1002,1,7.5,h,4980000,,1,,,.,,,,,
1002,1,24,h,3420000,,1,,,.,,,,,
1002,1,72,h,2120000,,1,,,.,,,,,
1002,1,167.9,h,1370000,,1,,,.,,,,,
1002,1,240,h,1260000,,1,,,.,,,,,
1002,1,335.9,h,841000,,1,,,.,,,,,
1002,1,503.9,h,516000,,1,,,.,,,,,
1002,1,672,h,246000,,1,,,.,,,,,
1501,1,0,h,.,,,,1,206897,ng/kg,PKCompartment.A1,0.5,1,0
1501,1,0,h,87.8,,2,,,.,,,,,
1501,1,0.583333333,h,649,,2,,,.,,,,,
1501,1,1.5,h,1040,,2,,,.,,,,,
1501,1,3.5,h,1660,,2,,,.,,,,,
1501,1,7.5,h,3380,,2,,,.,,,,,
1501,1,24,h,9680,,2,,,.,,,,,
1501,1,72,h,13100,,2,,,.,,,,,
1501,1,167.9,h,12800,,2,,,.,,,,,
1501,1,240,h,13600,,2,,,.,,,,,
1501,1,335.9,h,3570,,2,,,.,,,,,
1501,1,503.9,h,4940,,2,,,.,,,,,
