COMPOUND,DOSE,ID,DV,TIME,TIME_UNIT,EVID,CENS,AMT,TINF,WT,UNIT,YTYPE,YDESC,MDV,STUDYID,SPECIES,SEX,SUBJECT_GROUP,STUDYID,DOSE_GROUP
DemoDrug,125000,1,.,0,h,1,0,125000,0.01,0.2,ng,1,DemoDrug Concentration,0,DEMO,Rat,Male,.,.,.
DemoDrug,125000,1,9.86892062621268E+00,0,h,0,0,.,.,0.2,1,1,DemoDrug Concentration,0,DEMO,Rat,Male,.,.,.
DemoDrug,125000,1,2.79298055914923E+01,0.5,h,0,0,.,.,0.2,1,1,DemoDrug Concentration,0,DEMO,Rat,Male,.,.,.
DemoDrug,125000,1,7.83123971118144E+01,1,h,0,0,.,.,0.2,1,1,DemoDrug Concentration,0,DEMO,Rat,Male,.,.,.
DemoDrug,125000,1,9.53739965442517E+02,2,h,0,0,.,.,0.2,1,1,DemoDrug Concentration,0,DEMO,Rat,Male,.,.,.
DemoDrug,125000,1,8.09129773504923E+04,4,h,0,0,.,.,0.2,1,1,DemoDrug Concentration,0,DEMO,Rat,Male,.,.,.
DemoDrug,125000,1,8.76955454464008E+06,6,h,0,0,.,.,0.2,1,1,DemoDrug Concentration,0,DEMO,Rat,Male,.,.,.
DemoDrug,125000,1,3.13865614929041E+08,8,h,0,0,.,.,0.2,1,1,DemoDrug Concentration,0,DEMO,Rat,Male,.,.,.
DemoDrug,125000,1,6.12699563955171E+08,10,h,0,0,.,.,0.2,1,1,DemoDrug Concentration,0,DEMO,Rat,Male,.,.,.
DemoDrug,125000,1,4.63885973503713E+08,12,h,0,0,.,.,0.2,1,1,DemoDrug Concentration,0,DEMO,Rat,Male,.,.,.
DemoDrug,125000,1,4.78169145770087E+08,14,h,0,0,.,.,0.2,1,1,DemoDrug Concentration,0,DEMO,Rat,Male,.,.,.
DemoDrug,125000,1,4.31592977895154E+08,16,h,0,0,.,.,0.2,1,1,DemoDrug Concentration,0,DEMO,Rat,Male,.,.,.
DemoDrug,125000,1,4.93346342407512E+08,18,h,0,0,.,.,0.2,1,1,DemoDrug Concentration,0,DEMO,Rat,Male,.,.,.
DemoDrug,125000,1,4.75085282698889E+08,20,h,0,0,.,.,0.2,1,1,DemoDrug Concentration,0,DEMO,Rat,Male,.,.,.
DemoDrug,125000,1,4.51424419984473E+08,22,h,0,0,.,.,0.2,1,1,DemoDrug Concentration,0,DEMO,Rat,Male,.,.,.
DemoDrug,125000,2,.,0,h,1,0,125000,0.01,0.2,ng,1,DemoDrug Concentration,0,DEMO,Rat,Male,.,.,.
DemoDrug,125000,2,9.91176081812858E+00,0,h,0,0,.,.,0.2,1,1,DemoDrug Concentration,0,DEMO,Rat,Male,.,.,.
DemoDrug,125000,2,2.75428826695408E+01,0.5,h,0,0,.,.,0.2,1,1,DemoDrug Concentration,0,DEMO,Rat,Male,.,.,.
DemoDrug,125000,2,7.78789683956537E+01,1,h,0,0,.,.,0.2,1,1,DemoDrug Concentration,0,DEMO,Rat,Male,.,.,.
DemoDrug,125000,2,9.65618809042291E+02,2,h,0,0,.,.,0.2,1,1,DemoDrug Concentration,0,DEMO,Rat,Male,.,.,.
DemoDrug,125000,2,8.02193430263142E+04,4,h,0,0,.,.,0.2,1,1,DemoDrug Concentration,0,DEMO,Rat,Male,.,.,.
DemoDrug,125000,2,8.60533176704472E+06,6,h,0,0,.,.,0.2,1,1,DemoDrug Concentration,0,DEMO,Rat,Male,.,.,.
DemoDrug,125000,2,3.13004928043493E+08,8,h,0,0,.,.,0.2,1,1,DemoDrug Concentration,0,DEMO,Rat,Male,.,.,.
DemoDrug,125000,2,6.15650296447638E+08,10,h,0,0,.,.,0.2,1,1,DemoDrug Concentration,0,DEMO,Rat,Male,.,.,.
DemoDrug,125000,2,4.65745432669573E+08,12,h,0,0,.,.,0.2,1,1,DemoDrug Concentration,0,DEMO,Rat,Male,.,.,.
DemoDrug,125000,2,4.81792784387325E+08,14,h,0,0,.,.,0.2,1,1,DemoDrug Concentration,0,DEMO,Rat,Male,.,.,.
DemoDrug,125000,2,4.24337566182446E+08,16,h,0,0,.,.,0.2,1,1,DemoDrug Concentration,0,DEMO,Rat,Male,.,.,.
DemoDrug,125000,2,4.86577930675637E+08,18,h,0,0,.,.,0.2,1,1,DemoDrug Concentration,0,DEMO,Rat,Male,.,.,.
DemoDrug,125000,2,4.67836708262463E+08,20,h,0,0,.,.,0.2,1,1,DemoDrug Concentration,0,DEMO,Rat,Male,.,.,.
DemoDrug,125000,2,4.46386368593214E+08,22,h,0,0,.,.,0.2,1,1,DemoDrug Concentration,0,DEMO,Rat,Male,.,.,.
DemoDrug,125000,3,.,0,h,1,0,125000,0.01,0.2,ng,1,DemoDrug Concentration,0,DEMO,Rat,Male,.,.,.
