Time,DV,YDESC,CL_Drug,DOSEGROUP,CL,Drug,YTYPE,ID,mdv,TIME_UNIT,UNIT
18,0,IL2,HighExprHighAffinity,0,HighExpr,HighAffinity,1,1,1,h,ng/mL
44,0,IL2,HighExprHighAffinity,0,HighExpr,HighAffinity,1,1,1,h,ng/mL
68,1.27791,IL2,HighExprHighAffinity,0,HighExpr,HighAffinity,1,1,0,h,ng/mL
94,1.5268343333,IL2,HighExprHighAffinity,0,HighExpr,HighAffinity,1,1,0,h,ng/mL
18,0,IL2,HighExprHighAffinity,0.5,HighExpr,HighAffinity,1,2,1,h,ng/mL
44,0,IL2,HighExprHighAffinity,0.5,HighExpr,HighAffinity,1,2,1,h,ng/mL
68,2.2113776667,IL2,HighExprHighAffinity,0.5,HighExpr,HighAffinity,1,2,0,h,ng/mL
94,21.254112333,IL2,HighExprHighAffinity,0.5,HighExpr,HighAffinity,1,2,0,h,ng/mL
18,0,IL2,HighExprHighAffinity,5,HighExpr,HighAffinity,1,3,1,h,ng/mL
44,0,IL2,HighExprHighAffinity,5,HighExpr,HighAffinity,1,3,1,h,ng/mL
68,1.5890656667,IL2,HighExprHighAffinity,5,HighExpr,HighAffinity,1,3,0,h,ng/mL
94,1.0289853333,IL2,HighExprHighAffinity,5,HighExpr,HighAffinity,1,3,0,h,ng/mL
18,0,IL2,HighExprHighAffinity,50,HighExpr,HighAffinity,1,4,1,h,ng/mL
44,0,IL2,HighExprHighAffinity,50,HighExpr,HighAffinity,1,4,1,h,ng/mL
68,1.360885,IL2,HighExprHighAffinity,50,HighExpr,HighAffinity,1,4,0,h,ng/mL
94,1.2571663333,IL2,HighExprHighAffinity,50,HighExpr,HighAffinity,1,4,0,h,ng/mL
18,8.3108133333,IL2,HighExprHighAffinity,500,HighExpr,HighAffinity,1,5,0,h,ng/mL
44,68.99023,IL2,HighExprHighAffinity,500,HighExpr,HighAffinity,1,5,0,h,ng/mL
