TIME,DV,YDESC,SUBJECT_GROUP,CL,COMPOUND,YTYPE,ID,mdv,TIME_UNIT,UNIT,AMT,STUDYID
18,0,IL2,HighExprHighAffinity,HighExpr,HighAffinity,1,1,1,h,ng/mL,.,.
44,0,IL2,HighExprHighAffinity,HighExpr,HighAffinity,1,1,1,h,ng/mL,.,.
68,1.27791,IL2,HighExprHighAffinity,HighExpr,HighAffinity,1,1,0,h,ng/mL,.,.
94,1.526834333,IL2,HighExprHighAffinity,HighExpr,HighAffinity,1,1,0,h,ng/mL,.,.
18,0,IL2,HighExprHighAffinity,HighExpr,HighAffinity,1,2,1,h,ng/mL,.,.
44,0,IL2,HighExprHighAffinity,HighExpr,HighAffinity,1,2,1,h,ng/mL,.,.
68,2.211377667,IL2,HighExprHighAffinity,HighExpr,HighAffinity,1,2,0,h,ng/mL,.,.
94,21.25411233,IL2,HighExprHighAffinity,HighExpr,HighAffinity,1,2,0,h,ng/mL,.,.
18,0,IL2,HighExprHighAffinity,HighExpr,HighAffinity,1,3,1,h,ng/mL,.,.
44,0,IL2,HighExprHighAffinity,HighExpr,HighAffinity,1,3,1,h,ng/mL,.,.
68,1.589065667,IL2,HighExprHighAffinity,HighExpr,HighAffinity,1,3,0,h,ng/mL,.,.
94,1.028985333,IL2,HighExprHighAffinity,HighExpr,HighAffinity,1,3,0,h,ng/mL,.,.
18,0,IL2,HighExprHighAffinity,HighExpr,HighAffinity,1,4,1,h,ng/mL,.,.
44,0,IL2,HighExprHighAffinity,HighExpr,HighAffinity,1,4,1,h,ng/mL,.,.
68,1.360885,IL2,HighExprHighAffinity,HighExpr,HighAffinity,1,4,0,h,ng/mL,.,.
94,1.257166333,IL2,HighExprHighAffinity,HighExpr,HighAffinity,1,4,0,h,ng/mL,.,.
18,8.310813333,IL2,HighExprHighAffinity,HighExpr,HighAffinity,1,5,0,h,ng/mL,.,.
44,68.99023,IL2,HighExprHighAffinity,HighExpr,HighAffinity,1,5,0,h,ng/mL,.,.
68,39.94420333,IL2,HighExprHighAffinity,HighExpr,HighAffinity,1,5,0,h,ng/mL,.,.
94,2.605508,IL2,HighExprHighAffinity,HighExpr,HighAffinity,1,5,0,h,ng/mL,.,.
18,10.25380467,IL2,HighExprHighAffinity,HighExpr,HighAffinity,1,6,0,h,ng/mL,.,.
44,107.3587067,IL2,HighExprHighAffinity,HighExpr,HighAffinity,1,6,0,h,ng/mL,.,.
68,168.6175,IL2,HighExprHighAffinity,HighExpr,HighAffinity,1,6,0,h,ng/mL,.,.
94,12.97736767,IL2,HighExprHighAffinity,HighExpr,HighAffinity,1,6,0,h,ng/mL,.,.
18,22.49242,IL2,HighExprHighAffinity,HighExpr,HighAffinity,1,7,0,h,ng/mL,.,.
44,147.2682133,IL2,HighExprHighAffinity,HighExpr,HighAffinity,1,7,0,h,ng/mL,.,.
68,278.9947933,IL2,HighExprHighAffinity,HighExpr,HighAffinity,1,7,0,h,ng/mL,.,.
94,421.93979,IL2,HighExprHighAffinity,HighExpr,HighAffinity,1,7,0,h,ng/mL,.,.
18,0,IL10,HighExprHighAffinity,HighExpr,HighAffinity,2,1,1,h,ng/mL,.,.
